ChatGPT Cohort?;Modeling;Test ;Practice
X;1;5,92;9,02
X;6;1,85;9,36
X;8;2,35;6,85
X;1;6,00;8,72
X;3;3,68;8,32
X;9;5,52;7,48
X;8;6,33;9,62
X;7;6,43;6,85
X;4;7,58;7,48
X;8,5;3,75;6,85
X;9;4,43;6,85
X;5;5,08;7,48
X;7;5,67;6,85
X;9;4,00;8,48
X;8;5,17;6,85
X;3;4,68;8,4
X;9;7,08;8,4
X;2;3,33;5,82
X;0;3,35;8,4
X;6;6,00;10
X;4;3,10;5,82
X;1;3,43;8,4
X;3;3,68;3
X;2;6,27;8,4
X;0,5;3,82;8,77
X;1;2,82;8,21
X;1,5;2,39;7,37
X;3,5;3,39;7,45
X;4;4,50;8,13
X;9;5,25;8,10
X;8;5,67;10,00
X;9;7,39;10,00
X;9;7,64;9,29
X;9,5;9,17;9,66
X;3;3,75;7,00
X;3;3,92;6,80
X;3,5;2,39;9,05
X;6;5,35;9,03
X;6;5,10;7,00
X;6;5,52;8,00
X;7;5,25;6,80
X;8;7,50;7,00
X;8,5;5,67;7,00
X;9;5,17;8,10
X;9,5;7,17;8,80
X;10;7,08;9,37
X;10;6,50;9,20
X;6,5;5,08;9,00
X;4,5;6,83;10,00
X;8;7,42;10,00
X;5;3,77;7,50
X;8;6,75;10,00
X;9,5;6,08;10,00
X;7,5;4,39;10,00
X;7,5;6,92;7,50
X;8,5;6,00;8,00
X;3;2,35;7,00
X;7,5;4,64;10,00
X;8;5,47;10,00
X;6;4,39;10,00
X;7;7,93;9,50
X;7,5;7,52;10,00
X;7;8,83;8,50
X;7,5;5,50;8,00
X;1;1,24;7,00
X;6,5;4,00;8,00
X;7,5;7,92;10,00
X;8;6,08;9,00
X;4;6,50;8,36
X;6,5;4,17;8,34
X;8;7,58;8,43
X;8;8,08;9,46
;2;2,43;7,92
;0;3,83;8,62
;7;5,17;7
;8;5,52;7
;7;3,93;6,85
;4;6,60;6,85
;1;3,35;8,16
;4;5,08;7
;0;0,93;3,28
;3;4,02;6,85
;3;4,08;7
;4;6,35;7,48
;4;5,35;6,85
;5;3,75;6,85
;6;3,33;8,62
;9;3,58;8
;4;4,83;8,5
;0;5,00;6,85
;3;7,92;7,48
;10;5,85;8,62
;6;5,42;7
;5;6,25;9,36
;0;4,43;7,84
;7;6,92;7,48
;6;2,93;8,06
;3;3,60;8
;1;4,02;7
;4;8,33;7
;5;3,43;8,24
;5;5,92;9,36
;4;4,42;9,59
;3;4,52;7,48
;5;4,93;6,85
;0;4,58;9,42
;5;3,10;6,85
;8;8,33;7,48
;4;3,68;7
;2;2,02;6,85
;9;2,83;8,67
;6,5;4,17;9,42
;4;5,02;6,85
;0;3,77;8,62
;0;4,50;5,82
;0;0,00;4,2
;1;5,25;3,8
;0;3,93;10
;8;6,75;5,82
;4;5,52;3,8
;5;5,83;10
;5;3,68;5,82
;6;2,92;4
;3;5,50;5,82
;0;3,33;3,8
;6;4,92;10
;5;4,83;3,8
;3;3,83;4
;7;7,67;10
;0;2,93;3,8
;3;8,10;10
;6;5,50;3,8
;8;5,68;8,4
;6;4,93;5,6
;2;6,27;8,4
;0;2,42;4
;4;3,10;3,8
;2;5,93;7
;0;2,93;6,8
;3;5,92;3
;5;3,10;6,8
;4;7,08;6,8
;0;4,75;10
;4;3,42;5,82
;6;5,02;10
;2;2,60;3,8
;3;4,85;5,82
;5;5,00;8,4
;1,5;4,10;8,09
;1,5;3,50;8,34
;2,5;3,06;7,83
;3;3,58;8,10
;4;5,58;8,77
;4;4,83;8,26
;4,5;3,58;7,91
;4,5;4,14;8,18
;4,5;5,97;8,26
;5;6,17;8,34
;5;3,83;8,34
;5,5;5,00;8,10
;6;4,64;7,91
;6;5,17;8,17
;6;4,08;8,10
;6;4,17;8,17
;6,5;3,25;7,68
;7,5;5,67;8,10
;7,5;6,22;9,20
;8;5,00;8,10
;3,5;3,58;9,66
;6,5;9,17;10,00
;6,5;5,67;9,38
;7,5;7,50;7,50
;8;6,00;10,00
;8;3,50;9,94
;8;7,47;9,94
;8,5;5,22;9,20
;10;5,17;9,29
;10;7,58;10,00
;1;4,33;7,00
;1,5;3,25;6,84
;1,5;3,97;9,57
;1,5;3,00;9,31
;2;1,83;8,56
;2;3,97;9,14
;2;1,25;6,20
;2;3,72;6,69
;2;3,75;9,40
;2;4,00;7,00
;3;3,14;5,70
;3;3,58;6,50
;3;4,39;9,14
;3,5;5,25;9,31
;4;6,42;6,40
;4;2,43;6,80
;4;3,33;8,44
;4;4,68;9,57
;4;4,43;6,80
;4,5;3,91;7,00
;4,5;3,97;8,53
;4,5;5,25;6,80
;5;4,50;9,14
;5,5;2,25;7,50
;6;5,17;6,80
;6;4,02;6,80
;8;2,83;8,40
;9;8,00;8,40
;9;6,14;8,56
;5,5;3,52;8,50
;4;4,17;8,50
;8;6,08;8,00
;5;4,75;7,00
;3;0,81;7,50
;1;1,67;8,00
;5;5,60;10,00
;6;5,83;9,00
;7;5,92;9,70
;2,5;4,58;6,00
;7,5;3,25;9,00
;5,5;4,50;7,50
;6;3,83;2,00
;2,5;5,50;10,00
;8;5,97;9,00
;8;3,17;10,00
;6;4,58;9,00
;7,5;4,64;10,00
;8,5;6,08;10,00
;8;2,75;8,50
;0,5;3,00;8,00
;7;7,00;9,00
;3,5;3,08;9,50
;7,5;5,25;10,00
;7,5;5,42;7,00
;8;3,10;7,50
;7,5;7,00;9,00
;8,5;2,89;8,00
;9;5,25;9,00
;8;4,33;6,50
;4,5;3,92;9,50
;3,5;3,32;8,86
;4,5;3,93;8,21
;5,5;3,75;8,13
;6;4,10;7,68
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;